Buffer_Size,Dump,SoC_Violations,Buffer_Size_Obj
36403.46442874677,80.0,190.0,36403.46442874677
2000.0014555199357,80.0,618.0,2000.0014555199357
6741.651192554543,80.0,574.0,6741.651192554543
12361.427733587187,80.0,505.0,12361.427733587187
14694.766395336399,80.0,478.0,14694.766395336399
22447.511969450123,80.0,395.0,22447.511969450123
18257.15980432447,80.0,436.0,18257.15980432447
33347.46024581193,80.0,261.0,33347.46024581193
26132.727633180602,80.0,357.0,26132.727633180602
34851.37475729577,80.0,231.0,34851.37475729577
