iter,grad
1,[-167.69654253   -0.64727672]
2,[0. 0.]
3,[  0.       132.640163]
4,[ 0.         -5.99594639]
5,[ 0.         19.73979057]
6,[  0.         118.18016607]
7,[  0.       132.640163]
8,[  0.       132.640163]
9,[  0.       132.640163]
10,[  0.       132.640163]
11,[  0.       132.640163]
12,[  0.       132.640163]
12,[  0.       132.640163]
12,[  0.       132.640163]
12,[  0.       132.640163]
12,[  0.       132.640163]
12,[  0.       132.640163]
12,[  0.       132.640163]
12,[  0.       132.640163]
12,[  0.       132.640163]
12,[  0.       132.640163]
12,[  0.       132.640163]
12,[  0.       132.640163]
13,[0. 0.]
14,[0. 0.]
15,[ 0.         -8.15771471]
16,[  0.         121.51931677]
17,[  0.         134.47241481]
18,[  0.         132.95354113]
19,[  0.         118.18016607]
20,[  0.         132.95354113]
21,[  0.         130.50430545]
22,[  0.         132.95354113]
23,[0. 0.]
24,[0. 0.]
25,[ 0.         -8.19203369]
26,[  0.         120.82580444]
27,[  0.         130.88895961]
28,[  0.         132.95354113]
29,[  0.         132.95354113]
30,[  0.         132.95354113]
31,[  0.         132.95354113]
31,[  0.         132.95354113]
32,[  0.         132.95354113]
32,[  0.         132.95354113]
32,[  0.         132.95354113]
32,[  0.         132.95354113]
32,[  0.         132.95354113]
32,[  0.         132.95354113]
32,[  0.         132.95354113]
32,[  0.         132.95354113]
32,[  0.         132.95354113]
32,[  0.         132.95354113]
